"","Organisation","Organisation_fame_search","Company.name","Registered.number"
"1041","Care Today ( Childrens Services ) Ltd","Care Today ( Childrens Services ) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","03576741"
"1042","TJY Care lytd","TJY Care ltd","TJY CARE LTD","12880013"
"1043","Forte Care Ltd","Forte Care Ltd","FORTE CARE LTD","12455039"
"1044","Young Birch Ltd","Young Birch Ltd","YOUNG BIRCH LIMITED","11844169"
"1045","Prosper and Enterprise Limited","Prosper and Enterprise Limited","PROSPER AND ENTERPRISE LIMITED","11696464"
"1046","Momentum Residential Care Home Ltd","Momentum Residential Care Home Ltd","MOMENTUM RESIDENTIAL CARE HOME LTD","11658461"
"1047","Evolve Childcare Ltd","Evolve Child care Ltd","EVOLVE CHILD CARE LIMITED","12930071"
"1048","Resi-Action Staffordshire Ltd","Resi-Action Staffordshire Ltd","RESI- ACTION STAFFORDSHIRE LTD","12145516"
"1049","Huntercombe Young People Ltd","Huntercombe Young People Ltd","ACTIVE YOUNG PEOPLE LIMITED","12887759"
"1050","Monarch Intervention Services Ltd","Monarch Intervention Services Ltd","MONARCH INTERVENTION SERVICES LIMITED","10014318"
"1051","Care2Care Children's Home Ltd","Care2Care childrens Home Ltd","CARE2CARE CHILDREN'S HOME LTD","11543862"
"1052","I.M.P.A.C.T Children's Residential Care Ltd","I.M.P.A.C.T childrens Residential Care Ltd","I.M.P.A.C.T CHILDREN'S RESIDENTIAL CARE LTD","12652851"
"1053","Parallel Parents Ltd","Parallel Parents Ltd","PARALLEL PARENTS LTD","04311751"
"1054","Oakley House (Kent) Limited","Oakley House (Kent) Limited","OAKLEY HOUSE (KENT) LIMITED","12319230"
"1055","Protea Care 2 Limited","Protea Care 2 Limited","PROTEA CARE 2 LIMITED","12441340"
"1056","Supreme Child Care ltd","Supreme Child Care ltd","SUPREME CHILD CARE LTD","12497748"
"1057","Camino Care Limited","Camino Care Limited","SUPERCARE HOLDINGS LTD","12947967"
"1058","Halls Homes For Young People Ltd","Halls Homes For Young People Ltd","HALLS HOMES FOR YOUNG PEOPLE LTD","11206282"
"1059","Aegis 24/7 Ltd","Aegis 24/7 Ltd","AEGIS 24/7 LTD","11745619"
"1060","Hopespring","Hopespring","HOPESPRING","CHA1183771"
"1061","Safety & Focused Care Ltd","Safety & Focused Care Ltd","SAFETY & FOCUSED CARE LTD","13024640"
"1062","CASC (Barrow) Limited ","CASC (Barrow) Limited","CASC (BARROW) LIMITED","07575791"
"1063","Excel Residential Care LTD","Excel Residential Care LTD","EXCEL RESIDENTIAL CARE LIMITED","12435799"
"1064","Positive Steps Specialist Care Services Limited","Positive Steps Specialist Care Services Limited","POSITIVE STEPS SPECIALIST CARE SERVICES LIMITED","12112457"
"1065","Ashdown Care Homes Limited","Ashdown Care Homes Limited","ASHDOWN CARE HOMES LTD","04779830"
"1066","Applecast Limited","Applecast Limited","APPLECAST LIMITED","05758480"
"1067","Truly Care Services Ltd","Truly Care Services Ltd","TRULY CARE SERVICES LTD","08487912"
"1068","Charis Services for Children Ltd","Charis Services for Children Ltd","CHARIS SERVICES FOR CHILDREN LTD","12390384"
"1069","Treasure Nest Limited","Treasure Nest Limited","TREASURE NEST LIMITED","12602940"
"1070","Positive Homes for Positive Futures ltd","Positive Homes for Positive Futures ltd","POSITIVE HOMES FOR POSITIVE FUTURES LIMITED","12180373"
"1071","PALS Residential Services Ltd","PALS Residential Services Ltd","PALS RESIDENTIAL SERVICES LTD","11749584"
"1072","MJ Residential Services","MJ Residential Services","MJ RESIDENTIAL SERVICES LIMITED","12552727"
"1073","Horizon Care Mayfield Lodge Limited","Horizon Care Mayfield Lodge Limited","HORIZON CARE MAYFIELD LODGE LIMITED","13077951"
"1074","Cherry Care Children's Home Ltd","Cherry Care childrens Home Ltd","CHERRY CARE CHILDREN'S HOME LTD",NA
"1075","Vita Spirit Limited","Vita Spirit Limited","VITA SPIRIT LIMITED","13052170"
"1076","Trax MX Ltd","Trax MX Ltd","TRAX MX LTD","12243069"
"1077","Ashford Children's Care Limited","Ashford childrens Care Limited","ASHFORD CHILDRENS CARE LIMITED","12323831"
"1078","Family First Care Services Ltd","Family First Care Services Ltd","FAMILY FIRST CARE SERVICES LTD","12472441"
"1079","First Steps Care Ltd","First Steps Care Ltd","FIRST STEPS CARE LTD","07265204"
"1080","Anchor Care and Education Ltd","Anchor Care and Education Ltd","ANCHOR CARE AND EDUCATION LTD","12639169"
"1081","St. Caspian Care Limited","St. Caspian Care Limited","ST. CASPIAN CARE LIMITED","12785888"
"1082","GREEN HARVEST CAPITAL CONSULTING LTD","GREEN HARVEST CAPITAL CONSULTING LTD","GREEN HARVEST CAPITAL CONSULTING LTD","07117542"
"1083","24/7 SUPPORT UK LIMITED","24/7 SUPPORT UK LIMITED","24/7 SUPPORT UK LIMITED","09364566"
"1084","Abundantia Care Limited","Abundantia Care Limited","ABUNDANTIA CARE LIMITED","11591160"
"1085","Moncur Group Ltd","Moncur Group Ltd","SUNBRIDGE CHILDCARE LTD","12315001"
"1086","Acheron Care Limited","Acheron Care Limited","ACHERON CARE LIMITED","12124225"
"1087","Roxwell Care Gidea Park Limited","Roxwell Care Gidea Park Limited","ROXWELL CARE GIDEA PARK LIMITED","13123668"
"1088","Next Step Independence Ltd","Next Step Independence Ltd","NEXT STEP INDEPENDENCE LIMITED","09659729"
"1089","ARGF LIMITED","ARGF LIMITED","ARGF LIMITED","07844237"
"1090","Bethel Children's Care Ltd","Bethel childrens Care Ltd","BETHEL CHILDREN'S CARE LIMITED","11387001"
"1091","Contemporary Concept Care Limited","Contemporary Concept Care Limited","CONTEMPORARY CONCEPT CARE LIMITED","12627565"
"1092","Northridge Care Group Ltd","Northridge Care Group Ltd","NORTHRIDGE CARE GROUP LTD","09823297"
"1093","Real Care Support Ltd.","Real Care Support Ltd.","REAL CARE SUPPORT LIMITED","11523041"
"1094","Nurture Care Group Ltd","Nurture Care Group Ltd","NURTURE CARE GROUP LTD","13148761"
"1095","Infinity Care Home Ltd","Infinity Care Home Ltd","INFINITY CARE HOME LTD","12303401"
"1096","Sankofa Specialist Care Ltd","Sankofa Specialist Care Ltd","SANKOFA SPECIALIST CARE LTD","12913729"
"1097","Carterhatch Homes Limited","Carterhatch Homes Limited","CARTERHATCH HOMES LIMITED","13222940"
"1098","Williams Welfare Ltd","Williams Welfare Ltd","WILLIAMS WELFARE LTD","13235096"
"1099","Centre 404","Centre 404","CENTRE 404","02270299"
"1100","Solace Care ClayHall Ltd","Solace Care ClayHall Ltd","SOLACE CARE CLAYHALL LTD","13174088"
"1101","A&R Guardian Services Limited","A&R Guardian Services Limited","A&R GUARDIAN SERVICES LIMITED","09344692"
"1102","Kedleston (Wood Grove Childcare) Limited","Kedleston (Wood Grove Childcare) Limited","KEDLESTON (WOOD GROVE CHILDCARE) LIMITED","00966484"
"1103","Helpful Investments Limited","Helpful Investments Limited","HELPFUL INVESTMENTS LIMITED","00645916"
"1104","Trauma in Mind Ltd","Trauma in Mind Ltd","TRAUMA IN MIND LTD","12712017"
"1105","Barracare Ltd","Barracare Ltd","BARRACARE LTD","11912042"
"1106","Allesley Childrens Care Ltd","Allesley Childrens Care Ltd","ALLESLEY CHILDRENS CARE LTD","11296686"
"1107","Ascent Fostering Agency","Ascent Fostering Agency","ASCENT FOSTERING AGENCY LIMITED","08252409"
"1108","Dimensions Care Ltd","Dimensions Care Ltd","3 DIMENSIONS CARE LIMITED","05017650"
"1109","SV Care Services Limited","SV Care Services Limited","SV CARE SERVICES LIMITED","12823530"
"1110","We Care Bespoke Limited","We Care Bespoke Limited","WE CARE BESPOKE LTD","12145116"
"1111","Lily Residential Services LTd","Lily Residential Services LTd","LILY RESIDENTIAL SERVICES LTD","13350400"
"1112","Ubuntu Group Limited","Ubuntu Group Limited","UBUNTU GROUP LTD","09683385"
"1113","ALTERNATIVE APPROACH CARE LTD","ALTERNATIVE APPROACH CARE LTD","ELEVATED FUTURES LTD","12690539"
"1114","Procure Care Providers Limited","Procure Care Providers Limited","PROCURE CARE PROVIDERS LIMITED","13250974"
"1115","Kids Inc Residential Services Ltd","Kids Inc Residential Services Ltd","KIDS INC RESIDENTIAL SERVICES LTD","12722146"
"1116","Willcob Care Ltd","Willcob Care Ltd","WILLCOB CARE LTD","10721518"
"1117","Caritas Homes Limited","Caritas Homes Limited","CARITAS HOMES LIMITED","13293569"
"1118","Bess Solutions Limited","Bess Solutions Limited","BESS SOLUTIONS LIMITED","12382563"
"1119","Loyal Care Limited","Loyal Care Limited","LOYAL CARE LIMITED","10956354"
"1120","Pinnacle Care Provisions Ltd","Pinnacle Care Provisions Ltd","PINNACLE CARE PROVISIONS LTD","11425571"
"1121","Caring feathers Ltd","Caring feathers Ltd","CARING FEATHERS LTD","13244067"
"1122","Montage Services Limited","Montage Services Limited","MONTAGE SERVICES LIMITED","03593471"
"1123","Residential Child Care Community (North West) Limited","Residential Child Care Community (North West) Limited","RESIDENTIAL CHILD CARE COMMUNITY (NORTH WEST) LIMITED","12604218"
"1124","Direct Care Children's Homes","Direct Care childrens Homes","DIRECT CARE CHILDRENS HOMES LTD","12413917"
"1125","Bright Life Living (Stirchley) Ltd","Bright Life Living (Stirchley) Ltd","BRIGHT LIFE LIVING (STIRCHLEY) LTD","13131033"
"1126","Advocate Recruitment Ltd","Advocate Recruitment Ltd","ADVOCATE RECRUITMENT LTD","09903317"
"1127","Ash House Care Ltd","Ash House Care Ltd","ASH HOUSE CARE LTD","12994919"
"1128","RESILIENCE RESIDENTIAL SERVICES LTD","RESILIENCE RESIDENTIAL SERVICES LTD","RESILIENCE RESIDENTIAL SERVICES LTD","12708214"
"1129","Elite Children's Care Group Ltd","Elite childrens Care Group Ltd","ELITE CHILDREN'S CARE GROUP LTD","12557178"
"1130","Catch22 Charity Limited","Catch 22 Charity Limited","CATCH 22 CHARITY LIMITED","06577534"
"1131","Prime Calibre Care Group Ltd","Prime Calibre Care Group Ltd","PRIME CALIBRE CARE GROUP LTD","11973868"
"1132","My House Calow Ltd","My House Calow Ltd","MY HOUSE CALOW LTD","13553132"
"1133","Treetops Children's Homes Limited","Treetops childrens Homes Limited","TREETOPS CHILDREN'S HOMES LIMITED","12339510"
"1134","Nelbro Group Limited","Nelbro Group Limited","NELBRO GROUP LIMITED","10010086"
"1135","Tutelage Care Barking Ltd","Tutelage Care Barking Ltd","TUTELAGE CARE BARKING LTD","13473908"
"1136","Manuel Cornwall Ltd","Manuel Cornwall Ltd","MANUEL CORNWALL LTD","11638932"
"1137","Care Acre Ltd","Care Acre Ltd","CARE ACRE LIMITED","12261903"
"1138","Restoring Lives Ltd","Restoring Lives Ltd","RESTORING LIVES LTD","07520526"
"1139","Lighthouse Children's Care LTD","SUSSEX CHILDRENS CARE LTD","SUSSEX CHILDREN'S CARE LTD","12991411"
"1140","Tutelage care Redbridge Ltd","Tutelage care Redbridge Ltd","TUTELAGE CARE REDBRIDGE LTD","13525825"
"1141","Prime Nurture Services Limited","Prime Nurture Services Limited","PRIME NURTURE SERVICES LTD","13085175"
"1142","CF Social Work Ltd","CF Social Work Ltd","C F SOCIAL WORK LIMITED","06027234"
"1143","Rubicon Children and Family Services Ltd","Rubicon Children and Family Services Ltd","RUBICON CHILDREN & FAMILY SERVICES LIMITED","06832465"
"1144","Cynhenid Care Ltd","Cynhenid Care Ltd","CYNHENID CARE LTD","12775961"
"1145","Heathfield (Parkgate) Ltd","Heathfield (Parkgate) Ltd","HEATHFIELD (PARKGATE) LIMITED","12717433"
"1146","AMMA Childcare Services Ltd","AMMA Childcare Services Ltd","AMMA CHILDCARE SERVICES LTD","12861018"
"1147","Within Reach Services Limited","Within Reach Services Limited","WITHIN REACH SERVICES LIMITED","12434028"
"1148","GSM Ardent Ltd","GSM Ardent Ltd","GSM ARDENT LIMITED","12012705"
"1149","North Lakes Children's Service Limited","North Lakes childrens Service Limited","NORTH LAKES CHILDRENS SERVICES LIMITED","05671379"
"1150","Choices Home for Children Limited","Choices Home for Children Limited","CHOICES HOME FOR CHILDREN LIMITED","04211653"
"1151","Progressive Care Ltd ","Progressive Care Ltd","PROGRESSIVE CARE LIMITED","03641345"
"1152","Castle Homes Care Limited","Castle Homes Care Limited","CASTLE HOMES CARE LIMITED","03124409"
"1153","National Autistic Society (The)","National Autistic Society (The)","NATIONAL AUTISTIC SOCIETY(THE)","01205298"
"1154","Evolution Children Services Limited","Evolution Children Services Limited","EVOLUTION CHILDREN SERVICES LTD","06508335"
"1155","Green View Young People Limited","Green View Young People Limited","GREEN VIEW YOUNG PEOPLE LIMITED","06707135"
"1156","Plus One South West Ltd","Plus One South West Ltd","PLUS ONE (SOUTH WEST) LIMITED","06395222"
"1157","Roundhouse Care Limited","Roundhouse Care Limited","ROUNDHOUSE CARE LIMITED","06942346"
"1158","Aspris New Education Services Limited","Aspris New Education Services Limited","ASPRIS NEW EDUCATION SERVICES LIMITED","07221650"
"1159","Carlisle Mencap Limited","Carlisle Mencap Limited","CARLISLE MENCAP LIMITED","05595628"
"1160","Central & Southern Homes","Central & Southern Homes","CENTRAL & SOUTHERN HOMES LTD","12617058"
"1161","Compass Childrens Homes Ltd","Compass Childrens Homes Ltd","COMPASS CHILDREN'S HOMES LIMITED","04318432"
"1162","Homes 2 inspire","Homes 2 inspire","HOMES 2 INSPIRE LIMITED","10592680"
"1163","Consensus Support Services Limited","Consensus Support Services Limited","CONSENSUS SUPPORT SERVICES LIMITED","04081379"
"1164","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD","03431532"
"1165","K & G Care Ltd","K & G Care Ltd","K & G CARE LTD","10813761"
"1166","Ash House Care LTD","Ash House Care LTD","ASH HOUSE CARE LTD","12994919"
"1167","Excel Residential Care Ltd","Excel Residential Care Ltd","EXCEL RESIDENTIAL CARE LIMITED","12435799"
"1168","Hillcrest Childrens Services (2) Limited","Hillcrest Childrens Services (2) Limited","HILLCREST CHILDRENS SERVICES (2) LIMITED","06924418"
"1169","New Horizons (NW) Ltd","New Horizons (NW) Ltd","NEW HORIZONS (NW) LTD","08724981"
"1170","Enhanced Young Person's Care LTD","Enhanced Young Persons Care LTD","ENHANCED YOUNG PERSONS' CARE LIMITED","07330888"
"1171","The Forge Nuneaton Limited","The Forge Nuneaton Limited","THE FORGE (NUNEATON) LIMITED","08914205"
"1172","Closer 2 Home Limited","Closer 2 Home Limited","CLOSER 2 HOME LIMITED","10468358"
"1173","Willow Care Group Limited","Willow Care Group Limited","WILLOW CARE GROUP LIMITED","12786447"
"1174","Lily Residential Services Ltd","Lily Residential Services Ltd","LILY RESIDENTIAL SERVICES LTD","13350400"
"1175","New Path Residential Ltd","New Path Residential Ltd","NEW PATH RESIDENTIAL LTD","12098449"
"1176","Core Children LTD","Core Children LTD","CORE CHILDREN LTD","13796244"
"1177","Inspirations Leicestershire LTD","Inspirations Leicestershire LTD","INSPIRATIONS LEICESTERSHIRE LIMITED","07765916"
"1178","Resilience Residential Services Ltd ","Resilience Residential Services Ltd","RESILIENCE RESIDENTIAL SERVICES LTD","12708214"
"1179","Chamberlain Residential Care LTD","Chamberlain Residential Care LTD","CHAMBERLAIN RESIDENTIAL CARE LTD","12795236"
"1180","Cherish Childrens Care Ltd","Cherish Childrens Care Ltd","CHERISH CHILDRENS CARE LTD","07433113"
"1181","Gracebridge Care","Gracebridge Care","GRACEBRIDGE CARE LIMITED","10475180"
"1182","Omega care Group LTD","Omega care Group LTD","OMEGA CARE GROUP LTD","09596061"
"1183","Winurture Childcare Ltd ","Winurture Childcare Ltd","WINURTURE CHILDCARE LTD","13735332"
"1184","Detail Personnel Care Limited","Detail Personnel Care Limited","DETAIL PERSONNEL CARE LIMITED","06892198"
"1185","YMCA Leicestershire ","YMCA Leicestershire","YMCA LEICESTERSHIRE","00159933"
"1186","Continuum Support - Care Services LTD","Continuum Support - Care Services LTD","CONTINUUM SUPPORT - CARE SERVICES LTD","08517549"
"1187","Impact Childcare and Education Ltd ","Impact Childcare and Education Ltd","IMPACT CHILDCARE AND EDUCATION LTD","08610480"
"1188","Your Chapter Holdings Limited","Your Chapter Holdings Limited","YOUR CHAPTER HOLDINGS LIMITED","10082417"
"1189","Your Chapter LTD","Your Chapter LTD","YOUR CHAPTER LIMITED","09097182"
"1190","YMCA Robin Hood Group","YMCA Robin Hood Group","YMCA ROBIN HOOD GROUP","00310342"
"1191","Parkwood Care","Parkwood Care","PARKWOOD CARE LIMITED","12549974"
"1192","OLIVE TREE RESIDENTIAL CARE LIMITED","OLIVE TREE RESIDENTIAL CARE LIMITED","OLIVE TREE RESIDENTIAL CARE LIMITED","13424975"
"1193","Active Young People Limited","Active Young People Limited","ACTIVE YOUNG PEOPLE LIMITED","12887759"
"1194","R.E.A.C.H CHC LTD","R.E.A.C.H CHC LTD","R.E.A.C.H CHC LIMITED","10990536"
"1195","Sussex Children's Care LTD","Sussex childrens Care LTD","SUSSEX CHILDREN'S CARE LTD","12991411"
"1196","The Place Young People's Company","The Place Young Peoples Company","THE PLACE YOUNG PEOPLES COMPANY LIMITED","08453467"
"1197","SWAAY Child & Adolescent Services Ltd","SWAAY Child & Adolescent Services Ltd","SWAAY CHILD AND ADOLESCENT SERVICES LIMITED","07559540"
"1198","Doonamis Limited","Doonamis Limited","DOONAMIS LIMITED","09753080"
"1199","Theracare Homes Limited","Theracare Homes Limited","THERACARE HOMES LIMITED","12447164"
"1200","ROC Family Support Ltd","ROC FAMILY TIME LIMITED","ROC FAMILY TIME LIMITED","04246122"
"1201","Purple Ash Limited","Purple Ash Limited","PURPLE ASH LIMITED","13653599"
"1202","Beaufort care Group","Beaufort care Group","BEAUFORT CARE GROUP LIMITED","04690084"
"1203","Direct Care Childrens Homes Ltd","Direct Care Childrens Homes Ltd","DIRECT CARE CHILDRENS HOMES LTD","12413917"
"1204","Aspiration House Limited","Aspiration House Limited","ASPIRATION HOUSE LIMITED","11906384"
"1205","Branas Isaf (Holdings) Ltd","Branas Isaf (Holdings) Ltd","BRANAS ISAF (HOLDINGS) LIMITED","04827227"
"1206","MY3 Limited","MY3 Limited","MY3 LIMITED","09958602"
"1207","High View Children's Services Limited","High View childrens Services Limited","HIGH VIEW CHILDRENS SERVICES LIMITED","12392655"
"1208","Fairways Care (UK) Limited","Fairways Care (UK) Limited","FAIRWAYS CARE (UK) LIMITED","04460658"
"1209","Support and Sustain Care Ltd","Support and Sustain Care Ltd","SUPPORT AND SUSTAIN CARE LTD","12154843"
"1210","Resolute Care LTD","Resolute Care LTD","RESOLUTE CARE LTD","09332138"
"1211","Jeeves Care Group Ltd","Jeeves Care Group Ltd","JEEVES CARE GROUP LIMITED","12937010"
"1212","Birchwood Children's Services Ltd","Birchwood childrens Services Ltd","BIRCHWOOD CHILDRENS SERVICES LIMITED","12082247"
"1213","G B A Care Limited","G B A Care Limited","G B A CARE LIMITED","07506313"
"1214","Parallel Parents Ltd.","Parallel Parents Ltd.","PARALLEL PARENTS LTD","04311751"
"1215","Accalia Care Services Ltd.","Accalia Care Services Ltd.","ACCALIA CARE SERVICES LTD","08620766"
"1216","Personal Security Service Limited","Personal Security Service Limited","PERSONAL SECURITY SERVICE LIMITED","05322168"
"1217","ARTEMIS SUPPORT LIMITED","ARTEMIS SUPPORT LIMITED","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED","07013791"
"1218","Good Foundations ltd","Good Foundations ltd","GOOD FOUNDATION LTD","04068605"
"1219","Cannon Children Services Limited","Cannon Children Services Limited","CANNON CHILDREN SERVICES LIMITED","13366404"
"1220","SHALAMAR CHILDREN LIMITED","SHALAMAR CHILDREN LIMITED","SHALAMAR CHILDREN LIMITED","08736882"
"1221","Berry Gifford LTD","Berry Gifford LTD","BERRY GIFFORD LTD","09408518"
"1222","Outbound Care Limited","Outbound Care Limited","OUTBOUND CARE LIMITED","10585218"
"1223","Real Care Support Ltd","Real Care Support Ltd","REAL CARE SUPPORT LIMITED","11523041"
"1224","Azalea Care Ltd","Azalea Care Ltd","AZALEA CARE LTD","13450717"
"1225","Moonreach LTD","Moonreach LTD","MOONREACH LIMITED","07129730"
"1226","Cherry Trees Care Ltd","Cherry Trees Care Ltd","CHERRY TREES CARE LTD","13759447"
"1227","Rise Above Care Ltd","Rise Above Care Ltd","RISE ABOVE CARE LTD","12863310"
"1228","Helm Care Services Ltd","Helm Care Services Ltd","HELM CARE SERVICES LTD","04832036"
"1229","My Tribe Homes Ltd","My Tribe Homes Ltd","MY TRIBE HOMES LTD","13794739"
"1230","Caring Feathers Ltd","Caring Feathers Ltd","CARING FEATHERS LTD","13244067"
"1231","New Roots Children's Services Limited","New Roots childrens Services Limited","NEW ROOTS CHILDREN'S SERVICES LIMITED","10891849"
"1232","Southend on Sea Young Men's Christian Association","SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION","SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION","05051166"
"1233","Sunrise Hill Care Ltd","Sunrise Hill Care Ltd","SUNRISE HILL CARE LTD","12434401"
"1234","Smoothstone Care & Education","SMOOTH STONE CARE AND EDUCATION LIMITED","SMOOTH STONE CARE AND EDUCATION LIMITED","11031936"
"1235","Sportfit Support Services Ltd","Sportfit Support Services Ltd","SPORTFIT SUPPORT SERVICES LIMITED","08331882"
"1236","Green Harvest Capital Consulting Ltd","Green Harvest Capital Consulting Ltd","GREEN HARVEST CAPITAL CONSULTING LTD","07117542"
"1237","Devon & Cornwall Autistic Community Trust","Devon & Cornwall Autistic Community Trust","DEVON & CORNWALL AUTISTIC COMMUNITY TRUST","01662611"
"1238","Care Today (Children's Services) Ltd","Care Today (childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","03576741"
"1239","Sunbridge Childcare Ltd","Sunbridge Childcare Ltd","SUNBRIDGE CHILDCARE LTD","12315001"
"1240","Tutelage Care Hatley Ltd","Tutelage Care Hatley Ltd","TUTELAGE CARE HATLEY LTD","14086964"
"1241","Sure Steps Support Services Ltd","Sure Steps Support Services Ltd","SURE STEPS SUPPORT SERVICES LTD","13573156"
"1242","Trinity Care and Education Services Ltd","Trinity Care and Education Services Ltd","PROSPERITY CHILDRENS SERVICES LIMITED","09954693"
"1243","HEADSTART RESIDENTIAL CARE LTD","HEADSTART RESIDENTIAL CARE LTD","HEADSTART RESIDENTIAL CARE LTD","10025803"
"1244","Invested Childcare LTD","Invested Childcare LTD","INVESTED CHILDCARE LTD","11064306"
"1245","Ivie Lodge Limited","Ivie Lodge Limited","IVIE LODGE LIMITED","10823921"
"1246","Step Up Children and Family Services Ltd","Step Up Children and Family Services Ltd","STEP UP CHILDREN AND FAMILY SERVICES LIMITED","10658723"
"1247","Cedarways Residential Child Care  Larkhill House Limited","Cedarways Residential Child Care Larkhill House Limited","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED","11543599"
"1248","Harmony Childcare Residential Homes Limited","Harmony Childcare Residential Homes Limited","HARMONY CHILDCARE RESIDENTIAL HOMES LTD","10946489"
"1249","Hollybank Trust","Hollybank Trust","HOLLYBANK TRUST","CHA1043129"
"1250","Jasper Education and Support Services Limited","Jasper Education and Support Services Limited","JASPER EDUCATION AND SUPPORT SERVICES LIMITED","11739199"
"1251","Monarch Intervention Services Limited","Monarch Intervention Services Limited","MONARCH INTERVENTION SERVICES LIMITED","10014318"
"1252","Belmont Residential Care Ltd","Belmont Residential Care Ltd","BELMONT RESIDENTIAL CARE LTD","12728551"
"1253","Birchwood Independence Ltd","Birchwood Independence Ltd","BIRCHWOOD INDEPENDENCE LTD","11324370"
"1254","Roxwell Care Ilford Limited","Roxwell Care Ilford Limited","ROXWELL CARE ILFORD LIMITED","13811509"
"1255","G&S caring for children and young people ltd","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD","12654758"
"1256","EJ Childcare Services LTD","EJ Childcare Services LTD","EJ CHILDCARE SERVICES LTD","12991699"
"1257","Cherry Care Children's Home LTD","Cherry Care childrens Home LTD","CHERRY CARE CHILDREN'S HOME LTD",NA
"1258","TRESSELL Homes ltd","TRESSELL Homes ltd","TRESSELL HOMES LTD","11521178"
"1259","Chillington Close Limited","Chillington Close Limited","CHILLINGTON CLOSE LTD","11840403"
"1260","XYP Childcare Ltd","XYP Childcare Ltd","XYP CHILDCARE LIMITED","11247302"
"1261","SW Education & Care Ltd","SW Education & Care Ltd","SW EDUCATION & CARE LTD","11991085"
"1262","Watermead Care Limited","Watermead Care Limited","WATERMEAD CARE LTD","10010534"
"1263","Choices Home for Children","Choices Home for Children","CHOICES HOME FOR CHILDREN LIMITED","04211653"
"1264","Residential Childcare Community(Town Hall) LTD","Residential Child care Community (Town Hall) LTD","RESIDENTIAL CHILD CARE COMMUNITY (TOWN HALL) LIMITED","13605596"
"1265","Formations Care Services Ltd","Formations Care Services Ltd","FORMATIONS CARE SERVICES LTD","10412179"
"1266","Hestia Homes For Children Limited","Hestia Homes For Children Limited","HESTIA HOMES FOR CHILDREN LIMITED","13067006"
"1267","Virtue Therapeutic Care and Education (East Sussex) Limited","Virtue Therapeutic Care and Education (East Sussex) Limited","VIRTUE THERAPEUTIC CARE & EDUCATION (EAST SUSSEX) LIMITED","12745303"
"1268","The Amicus Community (Arundel) Ltd","The Amicus Community (Arundel) Ltd","THE AMICUS COMMUNITY ARUNDEL LIMITED","05014407"
"1269","JMR Healthcare Ltd","JMR Healthcare Ltd","JMR HEALTHCARE LTD","09148620"
"1270","Holistic Care Service Nationwide Limited","Holistic Care Service Nationwide Limited","HOLISTIC CARE SERVICE NATIONWIDE LIMITED","07956637"
"1271","Barnardo's Services Limited","Barnardos Services Limited","BARNARDO SERVICES LIMITED","01227919"
"1272","Stepping Stones Care Limited","Stepping Stones Care Limited","STEPPING STONES CARE LIMITED","IE491453"
"1273","Thrive Childcare Services Limited","Thrive Childcare Services Limited","THRIVE CHILDCARE SERVICES LTD","12112878"
"1274","Bay Tree House Higham Ltd","Bay Tree House Higham Ltd","BAY TREE HOUSE (HIGHAM) LTD","13061287"
"1275","Embrace Care Ltd","Embrace Care Ltd","EMBRACE CARE LTD","07406700"
"1276","Blossom SC Ltd","PARKER SC LTD","PARKER SC LTD","13405056"
"1277","Willow Tree Children's Services Ltd","Willow Tree childrens Services Ltd","WILLOW TREE CHILDREN'S SERVICES LTD","12589875"
"1278","Jurita Limited","Jurita Limited","JURITA LIMITED","13282314"
"1279","3S Adolescent Care Limited","3S Adolescent Care Limited","3S ADOLESCENT CARE LIMITED","13357685"
"1280","Regional Therapeutic Homes Ltd","Regional Therapeutic Homes Ltd","REGIONAL THERAPEUTIC HOMES LTD","13449405"
"1281","Bear Care Services Limited","Bear Care Services Limited","BEAR CARE SERVICES LIMITED","12479828"
"1282","AEGIS 24/7 LTD","AEGIS 24/7 LTD","AEGIS 24/7 LTD","11745619"
"1283","Safety and Focused Care Ltd","Safety and Focused Care Ltd","SAFETY & FOCUSED CARE LTD","13024640"
"1284","Talbot House Children's Charity Limited","Talbot House childrens Charity Limited","TALBOT HOUSE CHILDREN'S CHARITY LIMITED","03069213"
"1285","Jayne's Homes Limited","Jaynes Homes Limited","JAYNE HOMES LIMITED","09568338"
"1286","Strive and succeed Ltd","Strive and succeed Ltd","STRIVE AND SUCCEED LTD","12848964"
"1287","Fresh Start Care Group Ltd","Fresh Start Care Group Ltd","FRESH START CARE GROUP LTD","12878972"
"1288","C & C Unique Care Solution Ltd ","C & C Unique Care Solution Ltd","C & C UNIQUE CARE SOLUTIONS LTD","12610842"
"1289","Libre Living Ltd","Libre Living Ltd","LIBRE LIVING LIMITED","06502166"
